epoch,num_nodes,num_active,overlay_energy,pow_energy,blocks_produced,cum_overlay_energy,cum_pow_energy,overlay_vs_pow_ratio,cum_overlay_vs_pow_ratio,overlay_vs_pow_ratio_smooth_5,overlay_vs_pow_ratio_smooth_10,overlay_vs_pow_ratio_smooth_20
101,100,45,9000.0,1000.0,1,522200.0,56000.0,9.0,9.325,10.4,12.6,10.618181818181817
102,100,15,3000.0,1000.0,1,525200.0,57000.0,3.0,9.214035087719298,6.0,12.959999999999999,10.618181818181817
103,100,38,0.0,0.0,0,525200.0,57000.0,,9.214035087719298,6.0,10.639999999999999,9.818181818181817
104,100,14,0.0,0.0,0,525200.0,57000.0,,9.214035087719298,8.7,10.466666666666667,9.945454545454545
105,100,91,0.0,0.0,0,525200.0,57000.0,,9.214035087719298,11.0,8.72,10.56
106,100,72,14400.0,1000.0,1,539600.0,58000.0,14.4,9.303448275862069,10.533333333333333,8.72,10.059999999999999
107,100,38,7600.0,1000.0,1,547200.0,59000.0,7.6,9.27457627118644,10.533333333333333,8.65,10.059999999999999
108,100,48,9600.0,1000.0,1,556800.0,60000.0,9.6,9.28,10.533333333333333,8.5,9.044444444444444
109,100,55,0.0,0.0,0,556800.0,60000.0,,9.28,8.600000000000001,9.92,9.044444444444444
110,100,16,0.0,0.0,0,556800.0,60000.0,,9.28,6.0,9.92,7.511111111111112
111,100,24,0.0,0.0,0,556800.0,60000.0,,9.28,9.0,8.366666666666667,7.511111111111112
112,100,12,2400.0,1000.0,1,559200.0,61000.0,2.4,9.167213114754098,9.0,7.160000000000001,7.325000000000001
113,100,78,15600.0,1000.0,1,574800.0,62000.0,15.6,9.270967741935484,6.2,7.050000000000001,7.942857142857144
114,100,47,0.0,0.0,0,574800.0,62000.0,,9.270967741935484,6.2,6.2,7.942857142857144
115,100,3,600.0,1000.0,1,575400.0,63000.0,0.6,9.133333333333333,8.100000000000001,6.0,8.625
116,100,50,0.0,0.0,0,575400.0,63000.0,,9.133333333333333,0.6,6.0,9.244444444444445
117,100,51,0.0,0.0,0,575400.0,63000.0,,9.133333333333333,3.0,6.0,7.666666666666667
118,100,40,0.0,0.0,0,575400.0,63000.0,,9.133333333333333,5.4,7.2,7.675000000000001
119,100,27,5400.0,1000.0,1,580800.0,64000.0,5.4,9.075,5.4,3.000000000000001,7.95
120,100,80,0.0,0.0,0,580800.0,64000.0,,9.075,5.4,6.466666666666666,7.95
121,100,41,0.0,0.0,0,580800.0,64000.0,,9.075,5.4,11.0,7.95
122,100,61,0.0,0.0,0,580800.0,64000.0,,9.075,13.4,8.299999999999999,7.95
123,100,42,0.0,0.0,0,580800.0,64000.0,,9.075,13.8,8.299999999999999,9.7
124,100,67,13400.0,1000.0,1,594200.0,65000.0,13.4,9.141538461538461,9.266666666666667,9.0,8.857142857142856
125,100,71,14200.0,1000.0,1,608400.0,66000.0,14.2,9.218181818181819,9.266666666666667,9.9,8.075
126,100,1,200.0,1000.0,1,608600.0,67000.0,0.2,9.08358208955224,9.9,9.9,9.0
127,100,71,0.0,0.0,0,608600.0,67000.0,,9.08358208955224,8.733333333333334,9.9,8.68888888888889
128,100,59,11800.0,1000.0,1,620400.0,68000.0,11.8,9.123529411764705,6.000000000000001,11.2,8.68888888888889
129,100,82,0.0,0.0,0,620400.0,68000.0,,9.123529411764705,11.8,11.2,8.040000000000001
130,100,61,0.0,0.0,0,620400.0,68000.0,,9.123529411764705,14.100000000000001,9.040000000000001,8.333333333333334
131,100,100,0.0,0.0,0,620400.0,68000.0,,9.123529411764705,16.4,7.8,8.52
132,100,82,16400.0,1000.0,1,636800.0,69000.0,16.4,9.228985507246376,9.500000000000002,9.0,8.399999999999999
133,100,81,0.0,0.0,0,636800.0,69000.0,,9.228985507246376,9.0,9.0,8.399999999999999
134,100,13,2600.0,1000.0,1,639400.0,70000.0,2.6,9.134285714285713,8.3,7.08,8.399999999999999
135,100,40,8000.0,1000.0,1,647400.0,71000.0,8.0,9.11830985915493,5.600000000000001,7.08,7.9
136,100,31,6200.0,1000.0,1,653600.0,72000.0,6.2,9.077777777777778,4.750000000000001,7.599999999999999,7.199999999999999
137,100,48,0.0,0.0,0,653600.0,72000.0,,9.077777777777778,5.466666666666668,7.542857142857143,8.075
138,100,11,2200.0,1000.0,1,655800.0,73000.0,2.2,8.983561643835616,6.2,6.066666666666666,8.075
139,100,27,0.0,0.0,0,655800.0,73000.0,,8.983561643835616,6.533333333333335,6.066666666666666,7.542857142857143
140,100,51,10200.0,1000.0,1,666000.0,74000.0,10.2,9.0,6.533333333333335,6.76,7.05
141,100,36,7200.0,1000.0,1,673200.0,75000.0,7.2,8.976,8.700000000000003,6.449999999999999,6.555555555555555
142,100,9,0.0,0.0,0,673200.0,75000.0,,8.976,8.700000000000003,6.533333333333332,6.555555555555555
